a,PRZ
abaga,NN
abang,NN
abli,ADJ
abli,VRB
abliha,VRB
ablihan,VRB
ablihi,VRB
ablihon,VRB
abo,NN
abog,NN
abogada,NN
abogado,NN
abot,VRB
Abril,NN
abta,VRB
abtik,ADJ
abton,VRB
abuhan,NN
abutanan,NN
adberbyo,NN
adhetibo,NN
adlaw,NN
adlawang natawhan,NN
adlawon,ADJ
adto,VRB
adtoa,VRB
adtoan,VRB
adtoi,VRB
adtoon,VRB
adwana,NN
agila,NN
Agosto,NN
agtang,NN
ahos,NN
ako,NNP
akong,NNP
aktor,NN
aktora,NN
alahas,NN
alak,NN
alang,FOR
Aleman,NN
Alemanya,NN
alibangbang,NN
alikabo,NN
alimango,NN
alimpulos,NN
alindahaw,NN
aliyabok,NN
alkoba,NN
alpombra,NN
ama-ama,NN
amahan,NN
Amerika,NN
amerikana,NN
Amerikana,NN
Amerikano,NN
amiga,NN
amigo,NN
amihanan,NN
amimislon,NN
amo,NN
amo,NNP
among,NNP
ampay,ADJ
anak,NN
andam,NN
andam,ADJ
ang,NNI
angang,NN
angga,NN
anhi,VRB
antepara,NN
aparador,NN
apelyido,NN
apiki,ADJ
aping,NN
apo,NN
apong,NN
apuhan,NN
apuhang,NN
archipelago,NN
arites,NN
arko,NN
armaryo,NN
artista,NN
asawa,NN
asin,NN
asinon,ADJ
aslom,NN
aslom,ADJ
asukar,NN
asyenda,NN
atay,NN
atleta,NN
ato,NNP
atong,NNP
awahi,ADJ
awat,NN
away,NN
awit,NN
awto,NN
ayroplano,NN
baba,NN
babaye,NN
babaye,NN
baboy,NN
baby,NN
bae,NN
baga,NN
baga,NN
baga,ADJ
bag-o,NN
bag-o,ADJ
bag-ong bulan,NN
Bag-ong Tuig,NN
bagyo,NN
baha,NN
bahin,NN
bahin,PREP
bahin,ADJ
baho,ADJ
baka,NN
baka,NN
bakak,ADJ
bakakon,NN
bakasyon,NN
bakbak,NN
baki,NN
bakla,NN
bakos,NN
baktin,NN
bakya,NN
bala,NN
balahibo,NN
balak,NN
balangaw,NN
balatang,NN
balatong,NN
balay,NN
balay,NN
balay sa iro,NN
balay sa mga puta,NN
balbas,NN
baligtos,NN
baligya,NN
baligya,VRB
baligyaan,VRB
baligyaanan,NN
baligyai,VRB
balik,VRB
balika,VRB
balikan,VRB
baliki,VRB
balikon,VRB
balili,NN
balilihan,NN
balita,NN
balkon,NN
balod,NN
balod sa linog,NN
balog,ADJ
bana,NN
banay,NN
banda,NN
bangas,NN
bangaw,NN
bangka,NN
bangko,NN
banha,NN
banhaan,ADJ
banilya,NN
banog,NN
bantay,NN
banyo,NN
bao,NN
baol,NN
baol,NN
bapor,NN
baratilyo,NN
barato,NN
barato,ADJ
barko,NN
barong,NN
baroto,NN
basa,NN
basa,ADJ
basa,VRB
basaha,VRB
basahan,VRB
basahi,VRB
basahon,NN
basahon,VRB
basin,ADV
basketbol,NN
baso,NN
bastos,NN
bastos,ADJ
basura,NN
bata,NN
bataa,NN
bat-ang,NN
batan-on,NN
batan-on,ADJ
Bathala,NN
bati,ADJ
batiya,NN
bato,NN
batok,PREP
bayabas,NN
bayad,VRB
bayaw,NN
baybay,NN
baybayon,NN
bayle,NN
bayot,NN
bayran,VRB
bayri,VRB
beer,NN
bentana,NN
bestida,NN
bibingka,NN
biblioteka,NN
bigote,NN
bihon,NN
bilangguan,NN
bilat,NN
bili,NN
binilanggo,NN
bino,NN
binuang,ADJ
birhen,NN
bisan,ADV
bisan,ADV
bisan karon,ADV
bisbol,NN
bisikleta,NN
bisita,NN
bisti,NN
bitiis,NN
bitin,NN
bituon,NN
bituon,NN
biya,VRB
biyahe,NN
biyahe,VRB
biyolin,NN
blusa,NN
boda,NN
bola,NN
bolibol,NN
bolpen,NN
bolsa,NN
bongbong,NN
botilya,NN
bra,NN
braso,NN
buang,NN
buang,ADJ
buangbuang,ADJ
buaya,NN
budbod,NN
bugas,NN
bug-at,ADJ
bugnaw,NN
bugnaw,ADJ
buhat,NN
buhata,VRB
buhatan,NN
buhatan,VRB
buhati,VRB
buhaton,VRB
buhawi,NN
buhi,ADJ
buhok,NN
buk-a,VRB
buk-an,VRB
buk-i,VRB
bukid,NN
bukid,NN
bukog,NN
buk-on,VRB
bukton,NN
bulad,NN
bulak,NN
bulan,NN
bulan,NN
bulang,NN
bulangan,NN
bulawan,NN
bulbol,NN
bulok,NN
buluhaton,NN
bungtod,NN
buntag,NN
buok,NN
buolbuol,NN
buongon,NN
buotan,ADJ
bus,NN
busa,ADV
busay,NN
busog,ADJ
butangan,VRB
butangi,VRB
butbuton,NN
buto,NN
Byernes,NN
daan,ADJ
dagan,NN
dagan,VRB
daganan,VRB
dagani,VRB
dagat,NN
dagat,NN
daghag buhat,ADJ
daghan,ADJ
daginutan,ADJ
dagway,NN
dahon,NN
dahon,NN
dako,NN
dako,ADJ
dako-dako,DAJ
dakong bagyo,NN
dala,VRB
dalaga,NN
dalan,NN
dalha,VRB
dalhan,VRB
dalhi,VRB
dalhon,VRB
dal-og,NN
dalugdog,NN
dalunggan,NN
danaw,NN
danghag,ADJ
daog,NN
daot,ADJ
dapit,NN
dato,NN
dato,ADJ
dautan,NN
dautan,ADJ
dautangpalad,NN
daw,ADV
dawat,NN
dawata,VRB
dawatan,VRB
dawati,VRB
dawaton,VRB
dentista,NN
deretso,ADJ
didto,ADV
diha,ADV
dila,NN
dilaab,NN
dili,NADJ
dili andam,ADJ
dili hinungdanon,ADJ
dili hubog,ADJ
dili importante,ADJ
dili kasagaran,ADJ
dili kuyaw,ADJ
dili lami,ADJ
dili lamian,ADJ
dili mahigalahon,ADJ
dili maluloy-on,ADJ
dili mao,ADJ
dili masakit,ADJ
dili matuod,ADJ
dili nahadlok,ADJ
dili tibuok,ADJ
dili tinuod,ADJ
dimalas,ADJ
dingding,NN
dinha,ADV
dinhi,ADV
Dios,NN
direktor,NN
diri,ADV
distornilyador,NN
Disyembre,NN
disyerto,NN
doktor,NN
doktora,NN
dolyar,NN
Dominggo,NN
dormitoryo,NN
dosena,NN
drayber,NN
duga,NN
dugang,ADJ
dugay na,ADV
dughan,NN
dugo,NN
dugukan,NN
duha,NBR
duha ka gatos,NBR
duha ka gatos ug usa,NBR
duha ka libo,NBR
duha ka libo ug usa,NBR
dula,NN
dula,NN
dula,VRB
dulaa,VRB
dulaan,NN
dulaan,VRB
dulaanan,NN
dulai,VRB
dulaon,VRB
dulse,NN
dumala,NN
dungga,VRB
dunggan,NN
dunggon,VRB
dungogan,VRB
dungogi,VRB
duol,NN
duol,PREP
duol,ADJ
duol-duol,DADJ
dyaket,NN
dyip,NN
dyutay,ADJ
edad,NN
edukasyon,NN
ekretarya,NN
eksamen,NN
elektrisidad,NN
elepante,NN
embahador,NN
emperador,NN
empleado,NN
empleyo,NN
Enero,NN
era,NN
erport,NN
eskina,NN
eskwela,NN
eskwelahan,NN
eskwelahang pribado,NN
eskwelahang primarya,NN
estante,NN
estante,NN
estasyon sa bus,NN
estudyante,NN
gaan,ADJ
gabas,NN
gabii,NN
gabon,NN
gabunon,ADJ
gago,ADJ
gahapon,ADV
gahapon sa buntag,ADV
gahapon sa hapon,ADV
gahapon sa udto,ADV
gahi,NN
gahi,ADJ
gakos,VRB
gaksa,VRB
gakson,VRB
galon,NN
gamay,NN
gamay,ADJ
gamay-gamay,DAJ
gamit,VRB
gamita,VRB
gamitan,VRB
gamiti,VRB
gamiton,VRB
ganina,ADV
gansa,NN
ganta,NN
gapas,NN
garahe,NN
garbosa,ADJ
garboso,ADJ
gasa,NN
gasolina,NN
gastador,NN
gastador,ADJ
gasto,VRB
gastoha,VRB
gastohan,VRB
gastohi,VRB
gastohon,VRB
gatas,NN
gatusan,NN
gawas,ADV
gawas,NN
gawas,NN
giabli,VRB
giabli,VRB
giablihan,VRB
giabot,VRB
giadto,VRB
giadtoan,VRB
gibagon,NN
gibaligya,VRB
gibaligyaan,VRB
gibalik,VRB
gibalik,VRB
gibalikan,VRB
gibasa,VRB
gibasahan,VRB
gibayad,VRB
gibayran,VRB
gibuak,VRB
gibuhat,VRB
gibuhatan,VRB
gibuk-an,VRB
gibula,VRB
gibutang,VRB
gibutangan,VRB
gidaganan,VRB
gidaghanon,NN
gidakon,NN
gidala,VRB
gidalhan,VRB
gidawat,VRB
gidawatan,VRB
gidugayon,NN
giduka,ADJ
gidulaan,VRB
gidungog,VRB
gidungog,VRB
gidungogan,VRB
gigakos,VRB
gigamit,VRB
gigamitan,VRB
gigasto,VRB
gigastohan,VRB
gigutom,NN
gigutom,ADJ
gihapon,ADV
gihatag,VRB
gihatagan,VRB
gihigugma,VRB
gihikap,VRB
gihilakan,VRB
gihilam-osan,VRB
gihimo,VRB
gihimoan,VRB
gihugasan,VRB
gihulat,VRB
gihulog,VRB
gihuman,VRB
gihunahuna,VRB
gihunawan,VRB
gihunong,VRB
gihunongan,VRB
giingnan,VRB
giingon,VRB
giinom,VRB
gikalimtan,VRB
gikan,FROM
gikanta,VRB
gikantahan,VRB
gikaon,VRB
gikapoy,NN
gikapoy,ADJ
gikinahanglan,VRB
gikita,VRB
gikuha,VRB
gikuhaan,VRB
gikuyogan,VRB
gilaay,NN
gilaay,ADJ
gilabhan,VRB
giladmon,NN
gilakaw,VRB
gilangoy,VRB
gilapdon,NN
gilayon,NN
giligo,VRB
gilimpyohan,VRB
gilingaw,VRB
gilingkuran,VRB
gilukso,VRB
giluto,VRB
gilutoan,VRB
ginamos,NN
ginhawaan,NN
ginikanan,NN
Ginuo,NN
gipadala,VRB
gipadalhan,VRB
gipahiyuman,VRB
gipahulayan,VRB
gipalit,VRB
gipalit,VRB
gipalitan,VRB
gipaminaw,VRB
gipangita,VRB
gipangitaan,VRB
gipangutana,VRB
gipatay,VRB
gipatay,VRB
gipatayan,VRB
gipatiran,VRB
gipili,VRB
gipilian,VRB
giputlan,VRB
giputol,VRB
gipuy-an,VRB
gisabot,VRB
gisakit,VRB
gisakyan,VRB
gisayaw,VRB
gisayawan,VRB
gisinggit,VRB
gisinggitan,VRB
gisira,VRB
gisirhan,VRB
gisudlan,VRB
gisugdan,VRB
gisulat,VRB
gisulat,VRB
gisulatan,VRB
gisulod,VRB
gisulod,VRB
gisulti,VRB
gisultihan,VRB
gisumbag,VRB
gitabangan,VRB
gitago,VRB
gitagoan,VRB
gitan-aw,VRB
gitan-awan,VRB
gitason,NN
gitawag,VRB
gitawgan,VRB
gitrabaho,VRB
gitrabahoan,VRB
gitubag,VRB
gitudloan,VRB
gitukod,VRB
gitukoran,VRB
gitun-an,VRB
gituohan,VRB
giuhaw,NN
giuhaw,ADJ
gobernador,NN
grabe,ADJ
grado,NN
grado,NN
grado,NN
graduwado,NN
gramatika,NN
gramo,NN
gwapa,ADJ
gwapo,ADJ
ha,PRZ
habagatan,NN
habol,NN
habol,NN
habol,ADJ
hadlukan,NN
hagdan,NN
hagdanan,NN
hait,NN
hait,ADJ
halaman,NN
halang,ADJ
halas,NN
haligi,NN
halingan,NN
halok,VRB
hambugero,ADJ
hana,PRZ
hangin,NN
hanginon,ADJ
hangtod,PREP
hangyo,NN
hapon,NN
hara,NN
hardin,NN
hari,NN
hatag,NN
hatag,VRB
hatagan,VRB
hatagi,VRB
hawak,NN
hawla,NN
hawod,ADJ
hayag,NN
hayag,NN
hayag,ADJ
hayag sa adlaw,NN
hayag sa bulan,NN
hayop,NN
hayskol,NN
heart,NN
Hesukristo,NN
Hesus,NN
higala,NN
higayon,NN
higda,VRB
higdaan,NN
higugmaa,VRB
higugmaon,VRB
hikap,VRB
hikapa,VRB
hikapon,VRB
hikot,NN
hiktin,NN
hiktin,ADJ
hilak,VRB
hilakan,VRB
hilaki,VRB
hilam-osan,VRB
hilam-osi,VRB
hilanat,NN
hilaw,ADJ
hilisgutan,NN
hilo,NN
hilom,NN
hilom,ADJ
hilumon,ADJ
himan,NN
himo,NN
himo,VRB
himoa,VRB
himoan,VRB
himoi,VRB
himoon,VRB
himsog,ADJ
hinay,ADJ
hinigugma,NN
hiniktan,NN
hinog,NN
hinog,ADJ
hinulti,ADJ
hinumdomi,VRB
hinungdanon,ADJ
hinuon,PREP
hiyograpiya,NN
hotel,NN
hubad,NN
hubog,ADJ
hudnohan,NN
hugas,VRB
hugasan,VRB
hugasi,VRB
hugaw,NN
hugaw,ADJ
hugot,NN
hugot,ADJ
hukom,NN
hulagway,NN
hulagway,NN
hulat,VRB
hulata,VRB
hulaton,VRB
hulaw,NN
hulmigas,NN
hulog,VRB
Hulyo,NN
humabdos,NN
human,PREP
humana,VRB
humanon,VRB
humay,NN
humok,NN
humok,ADJ
humot,NN
humot,ADJ
hunahunaa,VRB
hunahunaon,VRB
hunas,NN
hunawan,VRB
hunawi,VRB
hunger,NN
huni,NN
huni,NN
hunong,VRB
hunonga,VRB
hunongan,VRB
hunongi,VRB
hunongon,VRB
hunos,NN
hunos,NN
Hunyo,NN
husto,NN
husto,ADJ
huyuhoy,NN
Hwebes,NN
iabli,VRB
ibaligya,VRB
ibalik,VRB
ibayad,VRB
ibutang,VRB
ideya,NN
idungog,VRB
ig-agaw,NN
igngusngus,NN
igo,ADJ
igpapanas,NN
igsoon,NN
igsoong,NN
igtutupi,NN
ihatag,VRB
ihi,NN
ihulog,VRB
ikaw,NNP
ila,NNP
i-laba,VRB
ilabi,ADV
ilaga,NN
ilang,NNP
ilha,VRB
ilhon,VRB
ilimnon,NN
ilok,NN
ilong,NN
imbis,PREP
imna,VRB
imnon,VRB
imo,NNP
imong,NNP
impormasyon,NN
importante,ADJ
inahan,NN
ina-ina,NN
inayo,ADJ
ingna,VRB
ingnan,VRB
ingni,VRB
ingnon,VRB
inhenyero,NN
inigkabuntag,ADV
inigkagabii,ADV
inigkahapon,ADV
inigkahuman,ADV
inigkaugma,ADV
init,ADJ
inom,VRB
interesado,ADJ
inyo,NNP
inyong,NNP
ipadala,VRB
ipalit,VRB
ipatay,VRB
iputol,VRB
iring,NN
iro,NN
isda,NN
islands kasundaluhan,NN
isog,NN
isog,ADJ
